,log_E,Freq
0,31.42076842294473,-1.3674946063415645
1,31.388852896985558,-1.0664646106775832
2,31.26512917925881,-0.8903733516219019
3,31.046372783714972,-0.765434615013602
4,31.034649550923113,-0.6685246020055455
5,30.969645940866673,-0.5893433559579208
6,30.919475126399856,-0.5223965663273076
7,30.885562563193574,-0.46440461934962085
8,30.830527858048413,-0.4132520969022395
9,30.818667988967814,-0.3674946063415644
10,30.816684841889437,-0.32610192118333936
11,30.809448720766383,-0.28831336029393956
12,30.788296608878074,-0.2535512540347276
13,30.736318586700026,-0.22136657066332632
14,30.691605299403786,-0.19140334728588315
15,30.669538640162543,-0.16337462368563963
